"Nation ID","Nation","Quarter ID","Quarter","Sex ID","Sex","Workforce","Workforce Total","percentage","Time"
"mex","México",2017,"2017-Q1",2,"Mujer",20452395,47737433,0.42843516533450804,1485921600000
"mex","México",2017,"2017-Q2",1,"Hombre",33448285,43088333,0.7762724308689315,1493611200000
"mex","México",2017,"2017-Q2",2,"Mujer",20620506,48030765,0.429318708540245,1493611200000
"mex","México",2017,"2017-Q3",1,"Hombre",33722699,43341319,0.7780727439328738,1501560000000
"mex","México",2017,"2017-Q3",2,"Mujer",20647216,48171243,0.4286212004120384,1501560000000
"mex","México",2017,"2017-Q4",1,"Hombre",33771799,43607908,0.774442080551078,1509508800000
"mex","México",2017,"2017-Q4",2,"Mujer",20924839,48436014,0.43200992963624135,1509508800000
"mex","México",2018,"2018-Q1",1,"Hombre",33819041,43869308,0.7709043643907034,1517457600000
"mex","México",2018,"2018-Q1",2,"Mujer",20771732,48735497,0.42621360771184913,1517457600000
"mex","México",2018,"2018-Q2",1,"Hombre",34270817,44213966,0.7751129360347362,1525147200000
"mex","México",2018,"2018-Q2",2,"Mujer",21372600,48853774,0.43748104291799444,1525147200000
"mex","México",2018,"2018-Q3",1,"Hombre",34551206,44443145,0.7774248649594893,1533096000000
"mex","México",2018,"2018-Q3",2,"Mujer",21411069,49104611,0.4360297040129286,1533096000000
"mex","México",2018,"2018-Q4",1,"Hombre",34368195,44527488,0.7718422157567029,1541044800000
"mex","México",2018,"2018-Q4",2,"Mujer",21655004,49318368,0.4390859811095128,1541044800000
"mex","México",2019,"2019-Q1",1,"Hombre",34395726,44709145,0.7693219362615858,1548993600000
"mex","México",2019,"2019-Q1",2,"Mujer",21642745,49548294,0.4368010127654446,1548993600000
"mex","México",2019,"2019-Q2",1,"Hombre",34670206,44983768,0.7707270320263078,1556683200000
"mex","México",2019,"2019-Q2",2,"Mujer",22281009,49639106,0.44885999759947326,1556683200000
"mex","México",2019,"2019-Q3",1,"Hombre",34948059,45070959,0.7754008296118128,1564632000000
"mex","México",2019,"2019-Q3",2,"Mujer",22401518,49875676,0.44914715541900624,1564632000000
"mex","México",2019,"2019-Q4",1,"Hombre",34823871,45161081,0.7711035747793548,1572580800000
"mex","México",2019,"2019-Q4",2,"Mujer",22801650,50244500,0.4538138502721691,1572580800000
"mex","México",2020,"2020-Q1",1,"Hombre",34683962,45394230,0.7640610271393523,1580529600000
"mex","México",2020,"2020-Q1",2,"Mujer",22644402,50390398,0.44937930436667717,1580529600000
