"ENT","CON","N_REN","PAREN","SEXO","EDAD","NIV","GRA","P3_5","P3_6","P3_7","P3_8","P3_9_1","P3_9_2","P3_9_3","P3_9_4","P3_9_5","P3_9_6","P3_9_7","P3_9_8","P3_9_9","P3_10","P3_11","P3_12_1","P3_12_2","P3_12_3","P3_12_4","P3_12_5","P3_12_6","P3_12_7","P3_12_8","P3_12A","P3_13","P3_14","P3_15","P3_16","P3_17_1","P3_17_2","P3_17_3","P3_17_4","P3_17_5","P3_17_6","P3_17_7","P3_17_8","P3_18","P3_19_1","P3_19_2","P3_19_3","P3_19_4","P3_19_5","P3_19_6","P3_19_7","P3_19_8","P3_20","P3_21_1","P3_21_2","P3_21_3","P3_21_4","P3_21_5","P3_21_6","P3_21_7","P3_21A","P3_21B","P3_22","P3_23","P3_24","P3_25_1","P3_25_2","P3_25_3","P3_25_4","P3_25_5","P3_26","FACTOR"
"18","18E13920","01","1","2","07","2","01","1","1","1","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","03","1","1","0","1","0","0","0","1",1549
"18","18E13920","02","1","2","10","2","04","1","1","1","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","04","1","1","0","1","0","0","0","1",1549
"18","18E13920","03","1","2","12","2","06","1","1","1","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","2","07","1","1","0","1","0","0","0","1",1549
"18","18E13923","01","1","2","09","2","03","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","0","0","4","1","03","1","1","0","1","0","0","0","2",1766
"18","18E13923","02","1","1","12","2","06","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","0","4","1","02","1","1","0","1","0","0","0","2",1766
"18","18E13931","02","4","1","03","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","02","1","4","0","0","1","0","0","1",517
"18","18E13931","03","4","2","08","2","02","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","01","1","1","0","1","0","0","0","1",517
"18","18E13931","04","1","1","17","5","02","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","2","03","2","","0","1","0","0","0","1",517
"18","18E13931","05","4","2","18","5","02","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","04","","","","","","","","","","","","","","","","","","","","","","","","","","","5",517
"18","18E13931","06","1","2","21","5","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","06","","","","","","","","","","","","","","","","","","","","","","","","","","","5",517
