Near Children Support ID,Near Children Support,Near Doctor Support ID,Near Doctor Support,Near Work Support ID,Near Work Support,Near Money Support ID,Near Money Support,Age Range ID,Age Range,Sex ID,Sex,Population
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,10,45 to 49 years,1,Hombre,2062
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,10,45 to 49 years,2,Mujer,1241
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,11,50 to 54 years,1,Hombre,1215
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,11,50 to 54 years,2,Mujer,2609
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,12,55 to 59 years,1,Hombre,1614
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,12,55 to 59 years,2,Mujer,2117
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,13,60 to 64 years,1,Hombre,1256
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,13,60 to 64 years,2,Mujer,2222
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,14,65 to 69 years,1,Hombre,1447
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,14,65 to 69 years,2,Mujer,735
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,15,70 to 74 years,1,Hombre,195
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,15,70 to 74 years,2,Mujer,416
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,4,15 to 19 years,1,Hombre,996
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,5,20 to 24 years,1,Hombre,1075
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,5,20 to 24 years,2,Mujer,2279
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,6,25 to 29 years,1,Hombre,2514
